Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2023-05-31,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5672.771198764033,-8323.796311881755,-8744.707162296058,-11506.568162502797,1542.0383251273702
2023-06-01,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5489.07098152043,-8100.289498718676,-8663.690373418942,-11441.008402441072,4889.742326057131
2023-06-02,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6103.301474254407,-8720.84245858049,-8786.426463008913,-11552.02308021256,4038.6588284630034
2023-06-05,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6284.618548845517,-8946.10560525928,-8799.106487993049,-11568.839793920844,43.00266184144807
2023-06-06,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5926.243230248937,-8513.901866151442,-8628.268506718043,-11414.206420023942,1037.5054971575664
2023-06-07,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5656.1357215608305,-8323.796311881755,-8518.87692883954,-11296.264209071573,-2279.226662435025
2023-06-08,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5692.714941952289,-8323.796311881755,-8763.588026606774,-11518.165849950004,5879.303978820209
2023-06-09,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6579.013868926373,-9483.760897354276,-8701.583113738046,-11482.322443597026,-884.6165104367312
2023-06-12,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6220.916446753492,-8888.184955683073,-8732.38549316577,-11495.976644445087,1717.3423400959675
2023-06-13,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5951.566821390726,-8614.64881661445,-8636.317313271547,-11395.18367944597,-54.626603163418196
2023-06-14,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5667.622876669565,-8323.796311881755,-8681.503280552706,-11447.247545682534,1044.6077737910446
2023-06-15,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5463.253629807494,-8058.504980282991,-8670.81504961123,-11466.532823668884,6015.866191923623
2023-06-16,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6462.757933853688,-9264.126713357078,-8694.823641570329,-11441.305159163896,-4820.895268684981
2023-06-20,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6957.091175889463,-10009.60821922053,-8683.336001734973,-11460.848374512952,1013.6035241715799
2023-06-21,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6505.112658071102,-9264.126713357078,-8595.210451475199,-11390.319838013007,813.3512347120273
2023-06-22,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6128.547891756949,-8775.051051932796,-8781.031811247083,-11555.721406066701,-1090.9165915280682
2023-06-23,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5888.364460582525,-8513.901866151442,-8613.054857951487,-11400.305738776615,1046.841285470936
2023-06-26,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5638.675314112175,-8323.796311881755,-8785.16146554793,-11558.541990204565,-770.0909787955476
2023-06-27,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5470.971300348452,-8100.289498718676,-8768.884149663669,-11540.290518202364,3085.269130525496
2023-06-28,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5579.554213914108,-8231.021842645323,-8717.439191504938,-11485.177226696585,-4.852137144704732
2023-06-29,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5377.262475947875,-7978.326192353638,-8673.209483973867,-11438.489226540874,-1319.8513671735657
2023-06-30,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5329.0393989752365,-7978.326192353638,-8784.894181870839,-11539.068281981527,3821.41519243989
2023-07-03,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5649.000132481785,-8323.796311881755,-8677.40134897941,-11433.643407449192,-3310.2088258306
2023-07-05,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5929.6223306769325,-8513.901866151442,-8646.402775870049,-11388.302859673186,-399.79512815473197
