Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2021-05-05,-7395.618559347335,-8513.852501748284,-7399.294001024049,-8514.631946551248,5117.181457234023
2021-05-06,-7387.862220022883,-8505.514154475117,-7391.5357487400715,-8506.293193599937,1146.8938220835132
2021-05-07,-7387.419005531398,-8505.155590256487,-7391.092812479403,-8505.93468838525,1734.48545381464
2021-05-10,-7387.377799401588,-8505.111964705264,-7391.051598397373,-8505.891061147617,-655.245027714066
2021-05-11,-7391.135564518949,-8509.072627965294,-7394.810030405856,-8509.851865834138,-2039.6175518756547
2021-05-12,-7400.103863676908,-8518.407110539187,-7403.779533145406,-8519.186603649576,-4337.893780413821
2021-05-13,-7399.619788603217,-8518.47676927059,-7403.297278099018,-8519.256648351144,4236.823384110251
2021-05-14,-7396.794770530971,-8515.752324262872,-7400.47259059305,-8516.532273446062,2776.474752959127
2021-05-17,-7395.660061634577,-8514.54726352494,-7399.337650462313,-8515.32716367065,-355.1268632197449
2021-05-18,-7396.62413013417,-8515.084214376813,-7400.300315100028,-8515.863816807869,-1103.9089164305221
2021-05-19,-7386.373999734322,-8503.875912081652,-7390.047035354784,-8504.65484663627,58.67914883818265
2021-05-20,-7375.948661011621,-8492.837006479693,-7379.619679943809,-8493.615513358582,3242.7520054421384
2021-05-21,-7375.5036716490085,-8492.401611378144,-7379.174722115875,-8493.180124944538,796.2096911913645
2021-05-24,-7375.453505897061,-8492.302103971042,-7379.124394186436,-8493.080583144727,1771.9093846742153
2021-05-25,-7374.371005533444,-8491.149237188374,-7378.041662540562,-8491.927667314416,-471.0411578255452
2021-05-26,-7374.396191724907,-8491.036872230483,-7378.066396625174,-8491.815206478976,1059.821144063344
2021-05-27,-7375.900887038748,-8492.606045662771,-7379.571303867445,-8493.384424854574,-968.0980872047014
2021-05-28,-7375.852772152111,-8492.265909959508,-7379.522229158861,-8493.044085603467,506.77644945960355
2021-06-01,-7373.488375445866,-8489.712704760415,-7377.157211871738,-8490.490748798818,-754.9965208987228
2021-06-02,-7373.625294200617,-8489.82152824588,-7377.2940382821935,-8490.599552700984,908.9892943727281
2021-06-03,-7372.027602429051,-8488.30170852751,-7375.696602462605,-8489.079787261924,1988.294053117048
2021-06-04,-7371.172160762767,-8487.063601579333,-7374.839903041686,-8487.841413583812,1272.041759533873
2021-06-07,-7405.077238807625,-8527.009059625077,-7408.7648347714985,-8527.791081967502,12834.267671318614
